,pid,name,rent,bedroom,ft2,longitude,latitude
0,6738315713,AMENITIES! GYM AND POOL! 1 BEDROOM WITH ATTACHED GARAGE!,2282,1,950,-121.915500,37.763600
1,6741646391,"City Outside, Tranquility Inside",3463,1,650,-122.391183,37.772721
2,6735983425,"Charming, Furnished 1/2 Duplex 10-min. walk to UC Berkeley & Downtown",2400,1,540,-122.275558,37.868315
3,6736643632,"Studio in Historic Pet-Friendly Building, 424 Jones St #204",1695,,,-122.416700,37.781300
4,6741646309,"Plenty of Natural Light, Storage and Garage at Avalon Fremont!",2350,1,785,-121.972897,37.543727
5,6739067386,1 bedroom/ 1 bath Downtown Hayward,1625,1,,-122.080603,37.676174
6,6736856618,GORGEOUS EDWARDIAN TWO BEDROOM WITH PARKING,4200,2,,-122.429624,37.802477
7,6741645814,AMAZING FALL SPECIAL!! **COME AND SEE YOUR NEW HOME**,2265,2,,-122.657550,38.464237
8,6734049281,three high-speed elevators and a spectacular,3400,1,756,-122.412568,37.777922
9,6739070471,**2 Bedroom 2 Bath- Walking distance to SJSU**,2200,2,,-121.877889,37.332631
10,6741635703,It's Nob Hill or Nothing in This 5-Start Nob Hill Apartment,4495,2,,-122.443507,37.778089
11,6729797575,3BR 2BA Healdsburg country home,3500,3,,-122.862000,38.618400
12,6741632930,This Lower Nob Hill Apartment Raises the Bar for Functionality,2695,,,-122.409694,37.790045
13,6741633946,**STATE OF THE ART FITNESS CENTER**,2650,2,1004,-121.990618,37.549976
14,6726713588,Spacious 2 Bed 1 Ba in Berkeley near BART,2400,2,800,-122.276866,37.861726
15,6741644841,Historical elegance meets contemporary studio at The Montgomery,3150,,500,-122.401043,37.787890
16,6731066971,Pet Friendly Beautiful 3+ Bed 2 Bath Bungalow in Berkeley,4750,3,1937,-122.284064,37.896474
17,6729846536,Large 2 bed 2 ba condo in Oakland/Piedmont area,2700,2,1200,-122.252237,37.819232
18,6741644582,"Stylish Features, Great School District, Laundry In Unit",2996,1,743,-122.234119,37.543012
19,6741644517,"Cupertino Schools, Close to Apple, Lab 126,  FB or Google Shuttles",3495,2,945,-122.047138,37.324617
20,6726719530,Spacious 3 Bed 1 Ba in South Berkeley,3200,3,900,-122.279294,37.847961
21,6741644349,"***A PLACE YOU WILL CALL HOME, AVAILABLE JAN 1, 2019***",3300,3,1469,-121.846050,37.324224
22,6741644290,"Stylish Features, Package Receiving, Pool and Spa! 1 Month Free",5750,3,1377,-122.269216,37.565529
23,6741644208,1 bedroom/ 1 bath Downtown Hayward,1625,1,,-122.080701,37.676107
24,6741643859,"Take $1500 Off December Rent, Reserve Today!",3429,2,1020,-122.276180,37.553900
25,6741643823,Ask Us About Our Move In Specials,4088,2,1213,-122.036242,37.371805
26,6741643789,Tour Today! Beautiful 1 Bedroom upgraded interior at Foster's Landing.,3022,1,745,-122.261278,37.555535
27,6741643638,2 Bed - 2 Bath - 2 Walk In Closets - Room Mate Perfect Home!!,4903,2,982,-122.403979,37.769428
28,6741643533,Coming Soon 2Bd/1ba near Oakridge,2400,2,810,-121.851182,37.250529
29,6741625090,Remodeled home Vallejo. No sec 8,2600,4,2000,-122.280400,38.158200
